Date , Hour , TotalCosts , FixedCosts , VariableCosts , LoadShedding , OverGeneration , ReserveShortfall , RenewablesUsed , RenewablesCurtailed , Demand , Price
2020-07-10,1,55525.2985,44987.33,10537.9685,0.0,0.0,0,1646.508332,1e-06,4204.687698,13.20557
2020-07-10,2,45626.36668,44987.33,639.03668,0.0,0.0,0,1908.158328,5e-06,3952.915008,11.542461
2020-07-10,3,44987.33,44987.33,0.0,0.0,0.0,0,1770.080677,71.877656,3770.080679,11.932723
2020-07-10,4,53370.13978,44987.33,8382.80978,0.0,0.0,0,1197.024993,7e-06,3648.953473,14.62615
2020-07-10,5,49701.48813,44987.33,4714.15813,0.0,0.0,0,1375.075003,-3e-06,3640.015071,13.654198
2020-07-10,6,45665.12563,44987.33,677.79563,0.0,0.0,0,1625.224997,3e-06,3672.265538,12.435137
2020-07-10,7,44987.33,44987.33,0.0,0.0,0.0,0,1828.744589,139.397078,3828.744582,11.749891
2020-07-10,8,44987.33,44987.33,0.0,0.0,0.0,0,2203.79357,41.973096,4203.793569,10.701603
2020-07-10,9,44987.33,44987.33,0.0,0.0,0.0,0,2618.362042,9.304625,4618.362051,9.740971
2020-07-10,10,46273.01222,44987.33,1285.68222,0.0,0.0,0,2912.45834,-6e-06,4994.254041,9.26525
2020-07-10,11,51531.23922,44987.33,6543.90922,0.0,0.0,0,2978.516655,1.2e-05,5337.623098,9.654342
2020-07-10,12,56492.60229,44987.33,11505.27229,0.0,0.0,0,3011.941661,6e-06,5616.900553,10.057611
2020-07-10,13,62187.95326,44987.33,17200.62326,0.0,0.0,0,2992.224999,1e-06,5862.683936,10.60742
2020-07-10,14,68068.2724,44987.33,23080.9424,0.0,0.0,0,2891.733325,8e-06,6021.243061,11.304688
2020-07-10,15,72499.8196,44987.33,27512.4896,0.0,0.0,0,2856.100004,-4e-06,6176.650784,11.737724
2020-07-10,16,108255.8862,78277.01,29978.8762,0.0,0.0,0,2652.724999,1e-06,6247.816035,17.326996
2020-07-10,17,143672.4396,116078.83,27593.6096,0.0,0.0,0,2460.891661,5e-06,6315.141344,22.750471
2020-07-10,18,97163.62477,59985.47,37178.15477,0.0,0.0,0,1943.141667,0,6183.19836,15.714137
2020-07-10,19,104163.33232,59985.47,44177.86232,0.0,0.0,0,1421.183334,0,5923.449127,17.584912
2020-07-10,20,108890.0104,59985.47,48904.5404,0.0,0.0,0,982.558331,2e-06,5651.228714,19.268378
2020-07-10,21,111332.6662,59985.47,51347.1962,0.0,0.0,0,806.141667,0,5555.402646,20.040432
2020-07-10,22,109313.3307,59985.47,49327.8607,0.0,0.0,0,631.133339,-5e-06,5313.785022,20.571651
2020-07-10,23,102598.147,59985.47,42612.677,0.0,0.0,0,477.908335,-1e-06,4922.224607,20.843857
2020-07-10,24,94199.3491,59985.47,34213.8791,0.0,0.0,0,359.675003,-3e-06,4486.808271,20.994735
2020-07-11,1,86294.1659,55107.9,31186.2659,0.0,0.0,0,314.033333,0,4150.737157,20.790082
2020-07-11,2,80393.24305,55107.9,25285.34305,0.0,0.0,0,306.449999,0,3891.090539,20.660851
2020-07-11,3,76164.9243,55107.9,21057.0243,0.0,0.0,0,309.125003,-3e-06,3709.432523,20.53277
2020-07-11,4,72834.85924,55107.9,17726.95924,0.0,0.0,0,333.483331,2e-06,3585.422338,20.314165
2020-07-11,5,70745.909,55107.9,15638.009,0.0,0.0,0,370.483334,0,3526.026639,20.063918
2020-07-11,6,69003.97724,55107.9,13896.07724,0.0,0.0,0,400.416668,-1e-06,3474.334351,19.861064
2020-07-11,7,62888.6004,55107.9,7780.7004,0.0,0.0,0,705.624997,3e-06,3479.948727,18.071703
2020-07-11,8,55808.26099,55107.9,700.36099,0.0,0.0,0,1335.158342,-9e-06,3724.613207,14.983639
2020-07-11,9,55107.9,55107.9,0.0,0.0,0.0,0,1781.953721,101.804612,4121.953723,13.369364
2020-07-11,10,55107.9,55107.9,0.0,0.0,0.0,0,2225.824158,85.109176,4565.824159,12.06965
2020-07-11,11,56778.11775,55107.9,1670.21775,0.0,0.0,0,2558.175005,-5e-06,5008.199046,11.337033
2020-07-11,12,61644.95446,55107.9,6537.05446,0.0,0.0,0,2701.133338,-4e-06,5412.138985,11.390128
2020-07-11,13,66633.4005,55107.9,11525.5005,0.0,0.0,0,2786.058331,2e-06,5746.764966,11.594941
2020-07-11,14,73343.38299,55107.9,18235.48299,0.0,0.0,0,2723.666668,-1e-06,5998.720173,12.226505
2020-07-11,15,80212.6837,55107.9,25104.7837,0.0,0.0,0,2633.916665,2e-06,6210.750588,12.915135
2020-07-11,16,89611.7689,55107.9,34503.8689,0.0,0.0,0,2407.241664,3e-06,6375.567807,14.055496
2020-07-11,17,126329.4095,88032.15,38297.2595,0.0,0.0,0,2134.216666,1e-06,6416.548524,19.688063
2020-07-11,18,103563.0941,59985.47,43577.6241,0.0,0.0,0,1824.716672,-6e-06,6304.872051,16.425884
2020-07-11,19,108357.9454,59985.47,48372.4754,0.0,0.0,0,1409.624998,2e-06,6060.722488,17.878718
2020-07-11,20,113906.2879,59985.47,53920.8179,0.0,0.0,0,922.075002,-2e-06,5754.397539,19.79465
2020-07-11,21,116135.2975,59985.47,56149.8275,0.0,0.0,0,750.408335,-1e-06,5652.985927,20.544063
