Date,Flow,Hour,Line
2020-07-10,41.821673,1,A1
2020-07-10,-22.223691,1,A10
2020-07-10,12.651648,1,A11
2020-07-10,-42.96654,1,A12-1
2020-07-10,-29.422971,1,A13-2
2020-07-10,-40.997766,1,A14
2020-07-10,-25.820295,1,A15
2020-07-10,-67.601206,1,A16
2020-07-10,-52.423734,1,A17
2020-07-10,57.463865,1,A18
2020-07-10,-166.06284,1,A19
2020-07-10,-7.439849,1,A2
2020-07-10,30.90329,1,A20
2020-07-10,-109.14732,1,A21
2020-07-10,-138.74308,1,A22
2020-07-10,-262.54228,1,A23
2020-07-10,169.77526,1,A24
2020-07-10,-196.29565,1,A25-1
2020-07-10,-196.29565,1,A25-2
2020-07-10,158.16663,1,A26
2020-07-10,-357.70087,1,A27
2020-07-10,308.20218,1,A28
2020-07-10,-120.7985,1,A29
2020-07-10,63.90797,1,A3
2020-07-10,-236.90237,1,A30
2020-07-10,-58.202483,1,A31-1
2020-07-10,-58.202483,1,A31-2
2020-07-10,109.09392,1,A32-1
2020-07-10,109.09392,1,A32-2
2020-07-10,77.265655,1,A33-1
2020-07-10,77.265655,1,A33-2
2020-07-10,-318.68096,1,A34
2020-07-10,38.770568,1,A4
2020-07-10,45.411384,1,A5
2020-07-10,61.209775,1,A6
2020-07-10,-158.16663,1,A7
2020-07-10,1.96913,1,A8
2020-07-10,28.598483,1,A9
2020-07-10,95.183762,1,AB1
2020-07-10,95.321302,1,AB2
2020-07-10,209.64091,1,AB3
2020-07-10,11.192447,1,B1
2020-07-10,-58.965092,1,B10
2020-07-10,-69.306428,1,B11
2020-07-10,-92.9757,1,B12-1
2020-07-10,-71.141922,1,B13-2
2020-07-10,-69.559154,1,B14
2020-07-10,-103.87156,1,B15
2020-07-10,-112.44693,1,B16
2020-07-10,-146.75934,1,B17
2020-07-10,-79.809266,1,B18
2020-07-10,-102.19682,1,B19
2020-07-10,-50.358023,1,B2
2020-07-10,-19.762557,1,B20
2020-07-10,-230.86834,1,B21
2020-07-10,-246.50145,1,B22
2020-07-10,-209.7604,1,B23
2020-07-10,-34.882603,1,B24
2020-07-10,-64.932876,1,B25-1
2020-07-10,-64.932876,1,B25-2
2020-07-10,111.60855,1,B26
2020-07-10,-119.74284,1,B27
2020-07-10,-87.345307,1,B28
2020-07-10,108.32694,1,B29
2020-07-10,18.384822,1,B3
2020-07-10,-18.428861,1,B30
2020-07-10,-38.152694,1,B31-1
2020-07-10,-38.152694,1,B31-2
2020-07-10,-93.850508,1,B32-1
2020-07-10,-93.850508,1,B32-2
2020-07-10,-129.3354,1,B33-1
2020-07-10,-129.3354,1,B33-2
2020-07-10,-36.171139,1,B34
2020-07-10,0.970356,1,B4
2020-07-10,16.440302,1,B5
2020-07-10,56.633036,1,B6
2020-07-10,-111.60855,1,B7
2020-07-10,-40.05905,1,B8
2020-07-10,-20.981229,1,B9
2020-07-10,36.40318,1,C1
2020-07-10,-48.48521,1,C10
2020-07-10,-52.945109,1,C11
2020-07-10,-78.569087,1,C12-1
2020-07-10,-46.80493,1,C13-2
2020-07-10,-37.033009,1,C14
2020-07-10,-34.868839,1,C15
2020-07-10,-99.426889,1,C16
2020-07-10,-97.26272,1,C17
2020-07-10,-6.811638,1,C18
2020-07-10,-129.64826,1,C19
2020-07-10,-93.415476,1,C2
2020-07-10,-10.598935,1,C20
2020-07-10,-121.53262,1,C21
2020-07-10,-129.6542,1,C22
2020-07-10,-211.81907,1,C23
2020-07-10,17.115055,1,C24
2020-07-10,-103.5294,1,C25-1
2020-07-10,-103.5294,1,C25-2
2020-07-10,55.674952,1,C26
2020-07-10,-347.44254,1,C27
2020-07-10,172.38243,1,C28
2020-07-10,316.71112,1,C29
2020-07-10,11.267722,1,C3
2020-07-10,-27.128655,1,C30
2020-07-10,-29.397937,1,C31-1
2020-07-10,-29.397937,1,C31-2
2020-07-10,47.858959,1,C32-1
2020-07-10,47.858959,1,C32-2
2020-07-10,20.751063,1,C33-1
2020-07-10,20.751063,1,C33-2
2020-07-10,-95.854678,1,C34
2020-07-10,-209.6847,1,C35
2020-07-10,-13.801292,1,C4
2020-07-10,9.119068,1,C5
2020-07-10,115.73519,1,C6
2020-07-10,-55.674952,1,C7
2020-07-10,-45.144796,1,C8
2020-07-10,-18.805099,1,C9
2020-07-10,-209.6847,1,CA-1
2020-07-10,234.46123,1,CB-1
2020-07-10,38.193292,2,A1
2020-07-10,-32.708591,2,A10
2020-07-10,12.794811,2,A11
2020-07-10,-43.089194,2,A12-1
2020-07-10,-25.071366,2,A13-2
2020-07-10,-48.118064,2,A14
2020-07-10,-20.996536,2,A15
2020-07-10,-83.510227,2,A16
2020-07-10,-56.388699,2,A17
2020-07-10,75.443989,2,A18
2020-07-10,-207.07228,2,A19
2020-07-10,-32.377932,2,A2
2020-07-10,27.981316,2,A20
2020-07-10,-105.36655,2,A21
2020-07-10,-132.91562,2,A22
2020-07-10,-298.91638,2,A23
2020-07-10,222.92754,2,A24
2020-07-10,-249.92976,2,A25-1
2020-07-10,-249.92976,2,A25-2
2020-07-10,188.85681,2,A26
2020-07-10,-463.43696,2,A27
2020-07-10,402.10579,2,A28
2020-07-10,-153.61172,2,A29
2020-07-10,43.811607,2,A3
2020-07-10,-309.82523,2,A30
2020-07-10,-70.630826,2,A31-1
2020-07-10,-70.630826,2,A31-2
2020-07-10,158.2081,2,A32-1
2020-07-10,158.2081,2,A32-2
2020-07-10,127.90901,2,A33-1
2020-07-10,127.90901,2,A33-2
2020-07-10,-419.77477,2,A34
2020-07-10,20.594273,2,A4
2020-07-10,31.676967,2,A5
2020-07-10,71.262702,2,A6
2020-07-10,-188.85681,2,A7
2020-07-10,-14.439045,2,A8
2020-07-10,10.198558,2,A9
2020-07-10,98.027287,2,AB1
2020-07-10,110.88377,2,AB2
2020-07-10,219.53585,2,AB3
2020-07-10,11.184495,2,B1
2020-07-10,-52.972976,2,B10
2020-07-10,-65.003928,2,B11
2020-07-10,-87.535362,2,B12-1
2020-07-10,-66.393939,2,B13-2
2020-07-10,-62.749619,2,B14
2020-07-10,-91.181181,2,B15
2020-07-10,-104.27741,2,B16
2020-07-10,-132.70898,2,B17
2020-07-10,-66.680986,2,B18
2020-07-10,-100.34605,2,B19
2020-07-10,-48.848438,2,B2
2020-07-10,-16.925754,2,B20
2020-07-10,-206.9644,2,B21
