Curtailment,Date,Generator,Hour,Output,Output DA,Unit Market Revenue,Unit Uplift Payment
0.0,2020-07-10,101_PV_1,1,0.0,,,
0.0,2020-07-10,101_PV_2,1,0.0,,,
0.0,2020-07-10,101_PV_3,1,0.0,,,
0.0,2020-07-10,101_PV_4,1,0.0,,,
0.0,2020-07-10,102_PV_1,1,0.0,,,
0.0,2020-07-10,102_PV_2,1,0.0,,,
0.0,2020-07-10,103_PV_1,1,0.0,,,
0.0,2020-07-10,104_PV_1,1,0.0,,,
0.0,2020-07-10,113_PV_1,1,0.0,,,
0.0,2020-07-10,118_RTPV_1,1,0.0,,,
0.0,2020-07-10,118_RTPV_10,1,0.0,,,
0.0,2020-07-10,118_RTPV_2,1,0.0,,,
0.0,2020-07-10,118_RTPV_3,1,0.0,,,
0.0,2020-07-10,118_RTPV_4,1,0.0,,,
0.0,2020-07-10,118_RTPV_5,1,0.0,,,
0.0,2020-07-10,118_RTPV_6,1,0.0,,,
0.0,2020-07-10,118_RTPV_7,1,0.0,,,
0.0,2020-07-10,118_RTPV_8,1,0.0,,,
0.0,2020-07-10,118_RTPV_9,1,0.0,,,
0.0,2020-07-10,119_PV_1,1,0.0,,,
0.0,2020-07-10,122_HYDRO_1,1,12.7,,,
0.0,2020-07-10,122_HYDRO_2,1,12.7,,,
0.0,2020-07-10,122_HYDRO_3,1,12.7,,,
0.0,2020-07-10,122_HYDRO_4,1,12.7,,,
0.0,2020-07-10,122_HYDRO_5,1,12.7,,,
0.0,2020-07-10,122_HYDRO_6,1,12.7,,,
3e-06,2020-07-10,122_WIND_1,1,479.38333,,,
-0.0,2020-07-10,201_HYDRO_4,1,9.1,,,
0.0,2020-07-10,212_CSP_1,1,0.0,,,
0.0,2020-07-10,213_RTPV_1,1,0.0,,,
-0.0,2020-07-10,215_HYDRO_1,1,9.1,,,
-0.0,2020-07-10,215_HYDRO_2,1,9.1,,,
-0.0,2020-07-10,215_HYDRO_3,1,9.1,,,
0.0,2020-07-10,215_PV_1,1,0.0,,,
-0.0,2020-07-10,222_HYDRO_1,1,9.1,,,
-0.0,2020-07-10,222_HYDRO_2,1,9.1,,,
-0.0,2020-07-10,222_HYDRO_3,1,9.1,,,
-0.0,2020-07-10,222_HYDRO_4,1,9.1,,,
