Date,Hour,Type,Solve Time
2020-07-10,-1,RUC,0.0
2020-07-10,1,SCED,0.370011
2020-07-10,2,SCED,0.302192
2020-07-10,3,SCED,0.283532
2020-07-10,4,SCED,0.296203
2020-07-10,5,SCED,0.306174
2020-07-10,6,SCED,0.283271
2020-07-10,7,SCED,0.281339
2020-07-10,8,SCED,0.287572
2020-07-10,9,SCED,0.307717
2020-07-10,10,SCED,0.291008
2020-07-10,11,SCED,0.314003
2020-07-10,12,SCED,0.293589
2020-07-10,13,SCED,0.289725
2020-07-10,14,SCED,0.295053
2020-07-10,15,SCED,0.297206
2020-07-10,16,SCED,0.300198
2020-07-10,17,SCED,0.314142
2020-07-10,18,SCED,0.296806
2020-07-10,19,SCED,0.298826
2020-07-10,20,SCED,0.292116
2020-07-10,21,SCED,0.299666
2020-07-10,22,SCED,0.287713
2020-07-10,23,SCED,0.288019
2020-07-10,24,SCED,0.320141
2020-07-11,-1,RUC,0.0
2020-07-11,1,SCED,0.361729
2020-07-11,2,SCED,0.29218
2020-07-11,3,SCED,0.270889
2020-07-11,4,SCED,0.278563
2020-07-11,5,SCED,0.271958
2020-07-11,6,SCED,0.287038
2020-07-11,7,SCED,0.291977
2020-07-11,8,SCED,0.281337
2020-07-11,9,SCED,0.285935
2020-07-11,10,SCED,0.284624
2020-07-11,11,SCED,0.292891
2020-07-11,12,SCED,0.300921
2020-07-11,13,SCED,0.287712
2020-07-11,14,SCED,0.301092
2020-07-11,15,SCED,0.316303
2020-07-11,16,SCED,0.294816
2020-07-11,17,SCED,0.34807
2020-07-11,18,SCED,0.349488
2020-07-11,19,SCED,0.2992
2020-07-11,20,SCED,0.292896
2020-07-11,21,SCED,0.298879
2020-07-11,22,SCED,0.303619
2020-07-11,23,SCED,0.278768
2020-07-11,24,SCED,0.287709
2020-07-12,-1,RUC,0.0
2020-07-12,1,SCED,0.359776
2020-07-12,2,SCED,0.28947
2020-07-12,3,SCED,0.314841
2020-07-12,4,SCED,0.293548
2020-07-12,5,SCED,0.287903
2020-07-12,6,SCED,0.341624
2020-07-12,7,SCED,0.285771
2020-07-12,8,SCED,0.303544
2020-07-12,9,SCED,0.288108
2020-07-12,10,SCED,0.287862
2020-07-12,11,SCED,0.315873
2020-07-12,12,SCED,0.279611
2020-07-12,13,SCED,0.307836
2020-07-12,14,SCED,0.294214
